39,62,46,0,0,0,0,0,0,6
528,198,13,0,19,0,0,0,0,0
865,323,59,17,35,0,0,0,4,0
404,208,6,16,4,0,0,0,0,0
764,470,18,5,9,0,0,0,0,0
35,11,33,0,0,0,0,0,0,0
71,67,96,0,3,4,0,0,0,0
42,56,69,0,1,3,0,0,0,0
35,65,24,0,0,2,0,1,0,1
61,74,79,0,2,8,0,2,0,0
244,40,18,1,16,21,0,14,0,6
83,25,43,0,18,17,0,3,0,3
30,15,12,0,12,12,0,7,2,1
590,498,67,10,21,19,12,8,7,1
923,637,42,12,33,27,15,13,5,2
426,69,105,4,4,0,1,4,1,0
204,156,42,7,8,4,2,1,0,0
27,294,7,24,2,0,2,1,3,0
728,364,160,9,5,8,14,3,7,2
549,328,77,19,4,0,3,1,2,0
