10-P-1	11-N-9	0.921868298066822	0.046527796586971
11-N-9	10-P-1	0.921868298066822	0.046527796586971
10-P-1	11-N-1	1.02512327008061	0.0844254325758236
11-N-1	10-P-1	1.02512327008061	0.0844254325758236
10-P-1	11-O-10	0.796748929456847	0.0138359244434168
11-O-10	10-P-1	0.796748929456847	0.0138359244434168
10-P-1	11-N-4	0.695413065700231	0.0463879945350787
11-N-4	10-P-1	0.695413065700231	0.0463879945350787
10-P-1	13-N-5	0.660734673616275	0.0122512212573942
13-N-5	10-P-1	0.660734673616275	0.0122512212573942
10-P-1	13-N-4	0.298429745342123	0
13-N-4	10-P-1	0.298429745342123	0
10-P-1	13-N-16	0.245372549019603	0.00789419216725681
13-N-16	10-P-1	0.245372549019603	0.00789419216725681
10-P-1	13-O-11	0.49509803921569	0
13-O-11	10-P-1	0.49509803921569	0
10-P-1	13-O-10	0.179620510150963	0.0469323768901182
13-O-10	10-P-1	0.179620510150963	0.0469323768901182
10-P-1	13-P-1	1.0550277777778	0.0798220643436153
13-P-1	10-P-1	1.0550277777778	0.0798220643436153
10-P-1	13-P-8	0.64828431372549	9.80619902990857e-08
13-P-8	10-P-1	0.64828431372549	9.80619902990857e-08
10-P-1	13-P-10	0.847704804998934	0.0430139150700618
13-P-10	10-P-1	0.847704804998934	0.0430139150700618
10-P-1	13-O-7	0.551320738514386	0.0595609534293301
13-O-7	10-P-1	0.551320738514386	0.0595609534293301
10-P-1	13-O-5	0.673278230972514	0.0112665873226412
13-O-5	10-P-1	0.673278230972514	0.0112665873226412
10-P-1	13-N-21	0.858067232973521	0.0312913013867409
13-N-21	10-P-1	0.858067232973521	0.0312913013867409
10-P-1	12-O-5	0.503604698483161	0.0256723542609965
12-O-5	10-P-1	0.503604698483161	0.0256723542609965
10-P-1	Holden_Lake	0.951475490196059	0.0164484403058789
Holden_Lake	10-P-1	0.951475490196059	0.0164484403058789
10-P-1	13-N-15	0.684790286576193	0.204254585154404
13-N-15	10-P-1	0.684790286576193	0.204254585154404
10-P-1	12-N-3	0.657654266318262	0.0897946486305815
12-N-3	10-P-1	0.657654266318262	0.0897946486305815
11-N-9	11-N-1	0.0787209747345775	0.0163818300880782
11-N-1	11-N-9	0.0787209747345775	0.0163818300880782
11-N-9	11-O-10	0.172795477291336	0.0115704699492242
11-O-10	11-N-9	0.172795477291336	0.0115704699492242
11-N-9	11-N-4	0.249690150766756	0.0317976925031868
11-N-4	11-N-9	0.249690150766756	0.0317976925031868
11-N-9	13-N-5	0.804605791389726	0.0373668992090134
13-N-5	11-N-9	0.804605791389726	0.0373668992090134
11-N-9	13-N-4	0.941103789180972	0.0179864782265696
13-N-4	11-N-9	0.941103789180972	0.0179864782265696
11-N-9	13-N-16	1.07265626687652	0.0377111648115955
13-N-16	11-N-9	1.07265626687652	0.0377111648115955
11-N-9	13-O-11	0.854180408970965	1.71680998760008e-07
13-O-11	11-N-9	0.854180408970965	1.71680998760008e-07
11-N-9	13-O-10	0.769649380063992	0.00258683562981386
13-O-10	11-N-9	0.769649380063992	0.00258683562981386
11-N-9	13-P-1	0.35167815889768	0.0161214444352396
13-P-1	11-N-9	0.35167815889768	0.0161214444352396
11-N-9	13-P-8	0.793200527704476	0.0324193071399345
13-P-8	11-N-9	0.793200527704476	0.0324193071399345
11-N-9	13-P-10	0.85982579953028	0.0525174969351322
13-P-10	11-N-9	0.85982579953028	0.0525174969351322
11-N-9	13-O-7	0.448393124862232	0.0415200462893117
13-O-7	11-N-9	0.448393124862232	0.0415200462893117
11-N-9	13-O-5	0.330929312610101	0.0220652624926172
13-O-5	11-N-9	0.330929312610101	0.0220652624926172
11-N-9	13-N-21	0.41083461535155	0.0361365603336735
13-N-21	11-N-9	0.41083461535155	0.0361365603336735
11-N-9	12-O-5	0.411969806342412	0.0504255893910413
12-O-5	11-N-9	0.411969806342412	0.0504255893910413
11-N-9	Holden_Lake	1.30043425681616	0.019177538504646
Holden_Lake	11-N-9	1.30043425681616	0.019177538504646
11-N-9	13-N-15	0.300862390907251	0.0111003260057036
13-N-15	11-N-9	0.300862390907251	0.0111003260057036
11-N-9	12-N-3	0.358902310250515	0.0729383069499347
12-N-3	11-N-9	0.358902310250515	0.0729383069499347
11-N-1	11-O-10	0.233303699925655	0.0205845822545262
11-O-10	11-N-1	0.233303699925655	0.0205845822545262
11-N-1	11-N-4	0.285834142621419	0.0236838777961675
11-N-4	11-N-1	0.285834142621419	0.0236838777961675
11-N-1	13-N-5	0.58808475086703	0.0195081800233518
13-N-5	11-N-1	0.58808475086703	0.0195081800233518
11-N-1	13-N-4	0.797141082022668	0.0430105975956016
13-N-4	11-N-1	0.797141082022668	0.0430105975956016
11-N-1	13-N-16	1.02215260330411	0.0650128884145392
13-N-16	11-N-1	1.02215260330411	0.0650128884145392
11-N-1	13-O-11	0.748663468917863	0.0549517084675379
13-O-11	11-N-1	0.748663468917863	0.0549517084675379
11-N-1	13-O-10	0.900052988678263	0.0188496280081938
13-O-10	11-N-1	0.900052988678263	0.0188496280081938
11-N-1	13-P-1	0.319477065745713	0.0152834378042053
13-P-1	11-N-1	0.319477065745713	0.0152834378042053
11-N-1	13-P-8	0.776519314402664	0.00458303375634501
13-P-8	11-N-1	0.776519314402664	0.00458303375634501
11-N-1	13-P-10	0.915836303374287	0.036472322215734
13-P-10	11-N-1	0.915836303374287	0.036472322215734
11-N-1	13-O-7	0.398867507075505	0.0216928081753344
13-O-7	11-N-1	0.398867507075505	0.0216928081753344
11-N-1	13-O-5	0.318833162163033	0.0294924084558221
