Site Number	Parkin Punctated	Barton Incised	Ranch Incised	Vernon Paul Applique	Fortune Noded	Manly Punctated	Tyronza Punctated	Kent Incised	Rhodes Incised	Walls Engraved	Hull Engraved	Mound Place Incised (T)	Old Town Red 	Carson Red-on-Buff	Nodena Red and White	Avenue Polychrome	Hollywood White Slipped	Wallace Incised	Stokes Bayou Incised	Oliver Incised	Owens Punctated (T)	Leland Incised	Blanchard Incised (T)	Arcola Incised (T)
13-N-15	106	31	0	0	1	0	0	3	2	0	0	0	18	0	0	1	0	0	0	0	0	1	0	0
10-P-1	39	57	0	0	0	0	0	4	0	0	6	1	22	0	0	24	0	0	0	0	6	0	0	0
15-N-6	26	63	10	0	0	0	4	3	0	0	8	0	24	3	6	0	2	0	0	0	2	2	0	0
14-O-2	18	63	1	0	0	0	0	3	1	2	0	0	39	0	0	14	0	0	0	0	3	0	0	0
20-M-2	17	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	61	1	31
12-O-5	91	27	1	0	3	0	0	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
11-N-12	20	87	1	0	7	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	1	0	0	0
13-O-11	35	51	0	0	0	0	0	14	1	2	1	0	12	0	0	12	0	0	0	0	0	0	0	0
18-M-4	13	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	27	0	0
15-N-5	5	65	0	0	1	0	0	0	0	0	2	0	13	6	10	3	6	0	0	0	2	1	0	0
16-L-6	3	6	0	0	0	0	0	1	2	0	0	0	43	0	2	0	0	53	0	1	0	0	0	0
13-P-11	73	9	6	0	0	0	0	2	3	6	2	0	6	0	0	0	0	0	0	0	0	0	0	0
17-K-1	1	6	0	0	0	0	1	0	0	1	0	0	30	0	1	1	1	53	1	0	0	6	0	0
13-N-11	11	28	2	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0
13-P-10	30	0	12	2	0	0	0	15	7	12	1	0	12	0	0	0	0	0	0	0	0	0	0	0
15-O-1	7	47	2	0	0	0	1	0	0	0	8	0	6	0	6	0	5	0	0	0	0	2	0	0
16-N-2	11	30	0	0	0	0	0	0	0	0	0	0	33	0	0	0	1	2	3	0	1	2	0	0
18-N-1	26	44	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	6	0	0
13-N-5	35	9	0	0	0	0	0	2	0	0	0	0	31	0	0	2	0	0	0	0	0	0	0	0
13-O-7	32	23	1	0	0	0	0	20	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
14-N-1	17	13	0	0	0	0	0	5	0	0	0	0	35	0	0	8	0	0	0	0	0	0	0	0
16-N-6	9	35	0	1	0	0	0	1	2	0	0	0	16	3	4	0	1	1	1	0	0	0	1	0
16-N-6	9	35	0	1	0	0	0	1	2	0	0	0	16	0	0	8	0	1	0	0	0	1	0	0
17-K-7	60	8	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
15-N-3	36	14	0	0	0	0	1	0	0	0	0	0	12	2	1	0	0	0	0	0	0	0	0	0
12-P-2	30	11	1	1	1	0	0	2	5	4	2	0	5	0	0	0	0	0	0	0	0	0	0	0
14-O-8	6	48	0	0	0	0	0	2	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0
12-O-2	40	11	0	0	0	0	0	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
14-O-10	4	37	0	0	0	0	0	0	0	2	2	0	9	0	0	3	0	0	0	0	0	0	0	0
16-O-2	2	42	0	0	0	0	0	0	0	0	0	0	3	1	5	0	0	0	2	0	0	0	0	0
17-N-9	8	40	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
10-P-4	10	6	2	0	3	2	0	4	0	3	0	0	6	9	0	4	0	0	0	0	1	0	0	0
14-O-4	11	24	0	0	1	0	0	2	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0
19-M-3	2	9	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	30	0	6
19-L-6	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0
13-P-7	18	6	6	0	0	0	0	8	1	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0
10-Q-1	5	3	3	1	0	0	0	2	1	3	0	0	25	0	0	4	0	0	0	0	0	0	0	0
19-L-1	11	15	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	16	0	0
16-M-2	6	13	0	0	0	0	0	0	1	0	0	0	3	0	2	0	0	1	13	1	1	0	1	0
16-N-2	6	8	0	0	0	0	0	0	0	0	0	0	22	0	0	5	0	0	0	0	0	0	0	0
12-N-2	27	0	0	0	1	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
15-M-1	32	3	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
13-N-14	27	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
17-M-2	1	23	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	4	6	0
13-N-4	17	17	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
17-N-11	5	20	0	0	0	0	0	0	3	0	0	0	3	0	1	0	3	0	1	0	0	0	0	0
13-O-6	6	24	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0
13-P-4	15	1	2	0	0	0	0	2	3	3	0	0	6	0	0	0	0	0	0	0	0	0	0	2
15-O-10	3	23	0	0	2	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0
13-O-1	4	15	0	0	0	0	1	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0
16-P-4	5	20	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
