Seriation_Solution Mean_Distance Solution_Size
2415 27509.7891667675 3
2454 27685.5377408495 4
8748 27685.5377408495 4
8749 27685.5377408495 4
8798 27780.3176547713 3
2484 27780.3176547713 3
7308 28182.8476204943 3
7331 28182.8476204943 3
1682 28182.8476204943 3
1671 28182.8476204943 3
1947 28418.5608415416 4
7834 28418.5608415416 4
7835 28418.5608415416 4
11473 28837.1243538603 3
3955 28837.1243538603 3
1439 29559.2349867178 3
6859 29559.2349867178 3
3000 30045.2144459068 4
9760 30045.2144459068 4
9759 30045.2144459068 4
3208 30679.7725694803 4
10150 30679.7725694803 4
10151 30679.7725694803 4
9497 30813.0102391831 4
2865 30813.0102391831 4
9496 30813.0102391831 4
2418 30813.0102391831 3
8688 30813.0102391831 3
2429 30813.0102391831 3
8705 30813.0102391831 3
11500 31359.2960539614 3
3970 31359.2960539614 3
2499 31610.8976462232 3
8823 31610.8976462232 3
6463 31657.8912279387 3
1229 31657.8912279387 3
3764 31930.1487625723 3
11131 31930.1487625723 3
11556 32004.9708639142 3
4004 32004.9708639142 3
4059 32301.2135994919 3
11647 32301.2135994919 3
9673 32915.6180269888 4
2955 32915.6180269888 4
9672 32915.6180269888 4
6290 33239.2349979613 4
1125 33239.2349979613 4
6291 33239.2349979613 4
10984 33252.5844108394 3
3675 33252.5844108394 3
3919 33313.3620338746 3
11421 33313.3620338746 3
3359 33383.3576801376 3
10413 33383.3576801376 3
9210 33418.505202956 3
2709 33418.505202956 3
9184 34248.7168169501 4
9183 34248.7168169501 4
2694 34248.7168169501 4
3577 34262.1482105253 3
10812 34262.1482105253 3
7979 34649.5901851667 3
2026 34649.5901851667 3
5072 34925.8400969657 4
5073 34925.8400969657 4
497 34925.8400969657 4
11118 34952.2172401123 3
3753 34952.2172401123 3
2862 35109.5271970444 3
9492 35109.5271970444 3
1454 35223.32546765 3
6885 35223.32546765 3
2715 35249.4312010846 3
9218 35249.4312010846 3
9241 35459.377259519 4
2729 35459.377259519 4
9242 35459.377259519 4
6282 35479.0228855543 4
1120 35479.0228855543 4
6283 35479.0228855543 4
10010 35766.045350304 3
9994 35766.045350304 3
3128 35766.045350304 3
3139 35766.045350304 3
7722 35799.0907705768 3
1883 35799.0907705768 3
3142 36244.8741203498 3
10035 36244.8741203498 3
10014 36244.8741203498 3
3153 36244.8741203498 3
4391 36245.393928172 4
164 36245.393928172 4
4392 36245.393928172 4
5578 36448.8733707916 4
5577 36448.8733707916 4
763 36448.8733707916 4
8628 36829.826228208 3
2384 36829.826228208 3
11563 36878.7474028064 3
4010 36878.7474028064 3
4003 37130.5857750723 3
11555 37130.5857750723 3
2431 37537.774308022 3
8725 37537.774308022 3
8707 37537.774308022 3
2442 37537.774308022 3
11552 37723.4100502821 4
11553 37723.4100502821 4
4001 37723.4100502821 4
290 38358.3593374006 4
4655 38358.3593374006 4
4656 38358.3593374006 4
9489 38516.7768641147 3
2860 38516.7768641147 3
824 38661.8791576405 3
5691 38661.8791576405 3
5027 38752.4476907905 4
473 38752.4476907905 4
5026 38752.4476907905 4
3804 38906.2625935723 3
11201 38906.2625935723 3
2035 39388.6087593863 3
7992 39388.6087593863 3
1835 39527.5460913019 3
7629 39527.5460913019 3
8858 39568.9604943861 4
2519 39568.9604943861 4
8857 39568.9604943861 4
1473 39908.4577502063 3
6914 39908.4577502063 3
6932 39908.4577502063 3
1484 39908.4577502063 3
3155 39909.1167529426 3
10037 39909.1167529426 3
10300 40019.7368410518 4
3289 40019.7368410518 4
10299 40019.7368410518 4
9885 40082.9416335678 3
3070 40082.9416335678 3
5448 40383.5291450941 4
695 40383.5291450941 4
5449 40383.5291450941 4
6271 40556.3712627252 3
1114 40556.3712627252 3
9494 40572.2423232343 4
2863 40572.2423232343 4
9493 40572.2423232343 4
