19-M-1	3699360	696616
11-N-4	3913500	723480
11-N-1	3906400	722250
19-N-1	3688530	712059
11-N-13	3909500	719950
11-O-10	3918000	737150
17-M-11	3749490	692713
13-P-1	3874859	754769
10-P-1	3943300	767520
10-P-4	3936520	763764
12-P-1	3885300	751720
11-N-12	3924520	724518
10-Q-1	3943700	773800
16-M-6	3766410	697259
20-M-1	3678140	696839
20-O-5	3662890	733607
11-N-9	3913000	725000
17-O-9	3746000	732311
13-N-21	3872820	712000
17-N-1	3746510	712155
17-P-2	3738610	756494
19-L-1	3705750	679336
17-K-3	3762132	661476
13-O-10	3851300	740620
12-N-3	3901650	717460
20-M-2	3662880	701081
16-N-10	3775580	726680
16-N-2	3774300	708780
15-O-1	3804150	731320
20-O-1	3679240	733349
13-O-11	3855772	739436
17-K-1	3762400	659884
13-N-4	3854800	725840
12-O-5	3876440	729450
19-N-3	3694960	711987
15-N-5	3803580	725377
15-N-6	3797449	713147
13-P-8	3866890	753981
13-N-16	3848880	723216
18-M-4	3716240	701980
16-O-2	3778260	732685
13-P-11	3872116	753929
16-L-6	3783580	682776
13-O-5	3870150	733280
13-P-10	3867421	759796
13-N-15	3871500	724350
12-N-4	3888750	710000
11-O-4	3944100	714360
11-N-15	3921670	722850
14-O-2	3834164	737160
13-N-7	3861780	708000
14-O-8	3822844	733102
19-L-6	3686170	676824
16-N-2	3774300	708780
16-N-6	3770950	721200
16-N-6	3770950	721200
17-N-11	3749500	722617
12-N-5	3900660	712820
13-O-4	3872690	737248
13-N-11	3848280	718452
15-N-3	3808000	708268
13-N-14	3859712	711584
17-K-7	3735930	658649
18-N-1	3732700	723842
16-M-2	3770770	699076
12-P-2	3896399	753963
13-O-6	3872190	729228
18-N-7	3711300	718394
11-P-2	3910900	758280
13-N-5	3858990	725132
17-O-1	3763070	744284
12-O-1	3887020	745304
12-O-2	3878800	741000
15-M-1	3800420	688201
17-N-2	3739900	717172
16-M-1	3784280	690527
13-P-7	3869960	751930
16-M-5	3765030	699196
17-N-9	3744880	723418
19-N-5	3703550	720713
19-N-6	3686180	720187
10-P-2	3935704	761620
13-O-1	3864600	732400
14-O-4	3846780	737110
18-L-1	3731260	683519
10-P-3	3933300	759953
17-N-12	3750420	724949
14-N-1	3833936	716829
20-O-3	3660940	738855
16-P-7	3781300	757214
13-P-4	3868400	759719
14-O-10	3825601	731878
13-O-7	3866850	738580
17-P-1	3760720	761077
17-N-3	3762040	724733
19-L-4	3703710	684664
18-N-4	3719990	721258
12-N-2	3880450	708240
19-O-1	3706733	749763
13-N-18	3872280	718090
19-M-3	3697740	693504
18-P-2	3724190	767295
12-N-13	3887390	722345
16-M-3	3766240	704609
17-M-2	3758170	693955
16-P-4	3783170	755259
11-O-7	3911480	730800
11-P-3	3915750	752551
17-M-1	3755230	685270
16-P-2	3789490	753408
12-N-3	3901650	717460
15-N-4	3806300	707130
20-M-5	3664480	688291
17-O-12	3758840	732607
10-Q-3	3940020	773403
16-P-1	3766640	771187
19-M-2	3704450	687779
16-P-3	3783870	757671
15-L-1	3791982	671920
16-P-8	3779450	757541
20-N-2	3658120	718497
11-O-8	3913622	732356
15-N-2	3810440	718757
17-N-4	3753390	727586
11-N-6	3906950	720220
16-K-1	3765272	649648
16-N-19	3771110	723849
13-P-6	3872748	757787
20-M-3	3660270	698020
15-O-10	3808537	730411
16-L-4	3791063	672080
13-N-15	3871500	724350
12-N-12	3877380	711858
17-L-1	3762660	661971
16-N-9	3776890	728912
11-N-16	3920400	724150
13-P-5	3863500	753463
16-P-6	3785510	755436
16-N-7	3778930	712966
17-K-4	3762300	658468
13-N-19	3870420	711815
11-P-1	3931860	761300
13-N-4	3854800	725840
16-P-5	3787410	754652
17-M-12	3746610	692098
11-N-11	3910400	719500
19-M-6	3682620	696415
16-L-3	3791136	671632
16-L-3	3791136	671632
12-O-6	3881800	749500
14-O-3	3834660	738770
13-N-13	3867210	721550
13-N-6	3855190	723393
13-O-12	3849650	741784
14-O-13	3827349	750391
16-N-17	3768080	709954
15-O-15	3800530	742735
14-O-1	3835900	738920
18-K-1	3710200	657161
15-L-2	3806090	678893
13-N-12	3854080	725340
20-O-2	3673870	734745
15-O-13	3813392	749936
17-N-14	3751680	721317
11-N-10	3904500	710900
11-N-3	3908400	725230
11-N-8	3911040	719500
16-O-15	3773320	733696
17-M-16	3745900	686378
17-O-8	3742890	749833
