45	57	1	0	0	4	0	0	6	22	0	24
865	311	35	4	17	12	0	0	0	53	0	6
21	87	1	0	7	0	0	0	0	12	0	1
425	212	0	1	17	2	0	0	0	1	12	0
143	53	1	0	0	0	0	0	0	3	0	0
767	466	9	0	5	4	0	0	0	14	0	4
528	191	19	0	0	7	0	0	0	13	0	0
404	207	5	0	16	0	0	0	0	6	0	0
206	45	3	2	0	3	0	0	0	2	0	0
154	62	1	1	1	1	0	0	0	22	0	0
48	71	0	0	1	6	1	0	0	100	0	2
40	11	0	0	0	6	0	2	1	0	0	0
91	27	1	0	3	9	0	0	0	7	0	0
97	33	10	0	1	1	5	5	0	14	0	2
30	11	1	1	1	2	5	4	2	5	0	0
11	28	2	0	0	0	0	0	0	52	0	0
106	31	0	0	1	3	2	0	0	18	0	1
42	46	1	0	0	10	0	3	0	67	0	2
268	36	4	1	3	8	4	0	0	70	0	0
71	45	3	0	0	22	0	4	0	80	0	16
35	9	0	0	0	2	0	0	0	31	0	2
70	49	0	0	0	1	0	2	0	57	0	2
61	68	2	0	0	6	2	8	0	34	0	45
35	51	0	0	0	14	1	2	1	12	0	12
128	77	3	0	0	32	2	2	0	8	0	2
32	23	1	0	0	20	0	1	0	2	0	0
245	28	17	0	1	11	14	21	6	15	0	3
30	0	12	2	0	15	7	12	1	12	0	0
73	9	6	0	0	2	3	6	2	6	0	0
83	16	19	0	0	8	3	17	3	37	0	6
