Site Number	Neeley's Ferry Plain	Parkin Punctated	Barton Incised	Ranch Incised	Vernon Paul Applique	Fortune Noded	Manly Punctated	Tyronza Punctated	Bell Plain	Kent Incised	Rhodes Incised	Walls Engraved	Hull Engraved	Mound Place Incised (T)	Old Town Red 	Carson Red-on-Buff	Nodena Red and White	Avenue Polychrome	Hollywood White Slipped	Wallace Incised	Stokes Bayou Incised	Oliver Incised	Owens Punctated (T)	Leland Incised	Blanchard Incised (T)	Arcola Incised (T)
13-N-7	433	70	49	0	0	0	0	0	40	1	0	2	0	0	57	0	0	2	0	0	0	0	0	0	0	0
14-O-8	377	6	48	0	0	0	0	0	183	2	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0
19-L-6	304	21	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0
16-N-2	537	6	8	0	0	0	0	0	30	0	0	0	0	0	22	0	0	5	0	0	0	0	0	0	0	0
16-N-6	467	9	35	0	1	0	0	0	11	1	2	0	0	0	16	3	4	0	1	1	1	0	0	0	1	0
16-N-6	467	9	35	0	1	0	0	0	11	1	2	0	0	0	16	0	0	8	0	1	0	0	0	1	0	0
17-N-11	488	5	20	0	0	0	0	0	11	0	3	0	0	0	3	0	1	0	3	0	1	0	0	0	0	0
12-N-5	505	5	9	0	0	0	0	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
13-O-4	450	1	5	0	0	0	0	0	62	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
13-N-11	373	11	28	2	0	0	0	0	49	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0
15-N-3	437	36	14	0	0	0	0	1	3	0	0	0	0	0	12	2	1	0	0	0	0	0	0	0	0	0
13-N-14	427	27	0	0	0	0	0	0	26	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
17-K-7	407	60	8	0	0	1	0	0	8	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
18-N-1	397	26	44	0	0	0	0	0	8	2	0	0	0	0	2	0	1	0	0	0	0	0	0	6	0	0
16-M-2	435	6	13	0	0	0	0	0	5	0	1	0	0	0	3	0	2	0	0	1	13	1	1	0	1	0
12-P-2	131	30	11	1	1	1	0	0	288	2	5	4	2	0	5	0	0	0	0	0	0	0	0	0	0	0
13-O-6	431	6	24	0	0	0	0	0	15	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0
18-N-7	446	6	6	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0
11-P-2	225	5	1	0	0	0	0	0	222	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
13-N-5	313	35	9	0	0	0	0	0	64	2	0	0	0	0	31	0	0	2	0	0	0	0	0	0	0	0
17-O-1	434	2	3	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	1	0	0	0	0
12-O-1	351	1	19	0	0	0	0	0	78	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0
12-O-2	247	40	11	0	0	0	0	0	132	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15-M-1	398	32	3	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
17-N-2	390	3	17	0	0	0	0	0	14	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0
16-M-1	411	3	5	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	1	1	0	0
13-P-7	58	18	6	6	0	0	0	0	315	8	1	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0
16-M-5	370	5	12	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
17-N-9	330	8	40	0	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
19-N-5	330	4	11	1	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	2
19-N-6	328	3	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0
10-P-2	211	0	6	0	0	0	1	0	117	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
13-O-1	222	4	15	0	0	0	0	1	75	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0
14-O-4	149	11	24	0	0	1	0	0	122	2	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0
18-L-1	304	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
10-P-3	155	9	1	0	0	1	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17-N-12	284	4	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
14-N-1	199	17	13	0	0	0	0	0	19	5	0	0	0	0	35	0	0	8	0	0	0	0	0	0	0	0
20-O-3	290	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0
16-P-7	245	5	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-P-4	28	15	1	2	0	0	0	0	210	2	3	3	0	0	6	0	0	0	0	0	0	0	0	0	0	2
14-O-10	144	4	37	0	0	0	0	0	57	0	0	2	2	0	9	0	0	3	0	0	0	0	0	0	0	0
13-O-7	84	32	23	1	0	0	0	0	94	20	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
17-P-1	247	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
17-N-3	243	1	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19-L-4	216	7	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0
18-N-4	236	3	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12-N-2	192	27	0	0	0	1	2	0	16	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
19-O-1	214	4	3	0	0	0	0	0	0	0	0	0	0	0	10	0	4	1	0	0	0	0	0	2	0	0
13-N-18	206	3	0	0	0	0	0	0	23	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
19-M-3	143	2	9	0	0	0	0	0	36	0	0	0	0	0	1	0	2	0	0	0	0	0	0	30	0	6
18-P-2	218	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12-N-13	204	0	5	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
16-M-3	188	1	15	0	0	0	0	0	2	0	0	0	0	0	7	1	1	0	1	0	0	0	0	0	0	0
17-M-2	163	1	23	0	0	0	0	0	9	0	0	0	0	1	0	0	1	0	0	0	2	0	0	4	6	0
16-P-4	178	5	20	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0
11-O-7	204	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
11-P-3	112	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17-M-1	185	1	7	0	0	0	0	0	10	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
16-P-2	174	3	20	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
12-N-3	193	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
15-N-4	168	10	6	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0
20-M-5	173	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
17-O-12	180	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0
10-Q-3	58	0	1	0	0	0	0	0	115	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
16-P-1	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
19-M-2	146	3	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
16-P-3	135	4	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15-L-1	155	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16-P-8	146	3	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
20-N-2	140	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
11-O-8	115	14	10	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
15-N-2	108	6	6	0	0	0	0	0	14	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0
17-N-4	119	5	7	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0
11-N-6	134	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16-K-1	116	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0
16-N-19	118	3	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
13-P-6	25	8	4	1	0	0	0	0	80	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0
20-M-3	100	1	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6
15-O-10	71	3	23	0	0	2	0	0	19	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0
16-L-4	119	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-N-15	78	8	6	0	0	0	0	0	21	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
12-N-12	45	15	2	0	0	0	0	0	43	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0
17-L-1	106	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
16-N-9	77	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11-N-16	102	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-P-5	56	2	3	7	0	0	0	0	30	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
16-P-6	84	1	7	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
16-N-7	74	1	9	0	0	0	0	0	7	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0
17-K-4	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-N-19	89	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
11-P-1	47	0	1	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13-N-4	47	17	17	0	0	0	0	0	7	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
16-P-5	82	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17-M-12	86	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
11-N-11	87	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
19-M-6	84	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
16-L-3	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16-L-3	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12-O-6	30	1	1	0	0	1	0	0	46	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-O-3	47	2	8	0	0	0	0	0	21	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0
13-N-13	66	1	5	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
13-N-6	35	4	5	0	1	0	0	0	28	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
13-O-12	32	0	6	0	0	0	0	0	33	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
14-O-13	25	1	11	0	0	0	0	0	26	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2
16-N-17	63	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15-O-15	58	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-O-1	43	1	3	0	0	0	0	0	15	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
18-K-1	57	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
