10-P-1	3943300	767520
10-P-2	3935520	761580
10-P-3	3934120	760410
10-P-4	3936400	762620
10-Q-1	3943700	773800
10-Q-3	3940400	773550
11-N-1	3906400	722250
11-N-10	3904500	710900
11-N-11	3910400	719500
11-N-12	3924500	724720
11-N-13	3909500	719950
11-N-14	3918950	723125
11-N-15	3921670	722850
11-N-16	3920400	724150
11-N-2	3907350	724440
11-N-3	3908400	725230
11-N-4	3913500	723480
11-N-5	3913410	722900
11-N-6	3906950	720220
11-N-7	3925160	690340
11-N-8	3911040	719500
11-N-9	3913000	725000
11-O-1	3928100	730000
11-O-10	3918000	737150
11-O-11	3914900	736700
11-O-2	3929800	737670
11-O-4	3944100	714360
11-O-5	3924190	734640
11-O-6	3924830	734650
11-O-7	3911480	730800
11-O-8	3913360	732350
11-O-9	3916540	736740
11-P-1	3931860	761300
11-P-2	3910900	758280
11-P-2	3910900	758280
11-P-3	3918541.28	753900
11-P-4	3917220	753580
11-P-5	3917540	757100
12-N-10	3883280	711650
12-N-12	3878020	710760
12-N-13	3888530	722840
12-N-14	3745720	707320
12-N-15	3891230	712120
12-N-16	3888590	727000
12-N-2	3880450	708240
12-N-3	3901650	717460
12-N-4	3888750	710000
12-N-5	3900660	712820
12-N-6	3898930	714520
12-N-7	3894330	720150
12-N-8	3896200	721340
12-N-9	3851260	717650
12-O-1	3887490	746480
12-O-2	3878800	741000
12-O-3	3877520	735360
12-O-4	3878460	734540
12-O-5	3876440	729450
12-O-6	3881800	749500
12-P-1	3885300	751720
12-P-2	3896399	753963
13-M-1	3861600	702850
13-N-1	3871500	724350
13-N-10	3855100	726680
13-N-11	3848720	718180
13-N-12	3854080	725340
13-N-13	3867210	721550
13-N-14	3859600	711300
13-N-15	3871500	724350
13-N-16	3850050	721080
13-N-17	3848410	713070
13-N-18	3872280	718090
13-N-19	3872570	712650
13-N-2	3856900	720800
13-N-20	3872310	713100
13-N-21	3872820	712000
13-N-3	3861400	724360
13-N-4	3854800	725840
13-N-5	3860300	725300
13-N-6	3856210	726020
13-N-7	3861780	708000
13-N-8	3856480	726000
13-N-9	3851260	717650
13-O-1	3864600	732400
13-O-10	3851300	740620
13-O-11	3855772	739436
13-O-12	3853220	740940
13-O-2	3872150	738780
13-O-3	3870150	733280
13-O-4	3872640	738420
13-O-5	3870150	733280
13-O-6	3873060	729580
13-O-7	3866850	738580
13-O-8	3864600	732400
13-O-9	3875620	737480
13-P-1	3874859	754769
13-P-10	3867421	759796
13-P-11	3872116	753929
13-P-3	3868370	758561
13-P-4	3869837	760317
13-P-5	3864400	754509
13-P-6	3872748	757787
13-P-7	3870774	752674
13-P-8	3867620	755793
13-P-9	3867119	755880
14-L-1	3820150	666950
14-M-2	3836130	694170
14-M-3	3828650	686800
14-N-1	3834510	717270
14-N-2	3834070	718300
14-N-3	3846900	707220
14-N-4	3822310	715570
14-N-6	3820240	720200
14-O-1	3835900	738920
14-O-10	3870720	709650
14-O-11	3845860	751580
14-O-13	3827150	750410
14-O-2	3834164	737160
14-O-3	3834660	738770
14-O-4	3846780	737110
14-O-5	3842780	735510
14-O-6	3847260	741160
14-O-7	3841980	737110
14-O-8	3822810	733135
14-P-1	3842115	754706
14-P-2	3843235	753426
15-M-2	3796720	697380
15-N-1	3814590	720290
15-N-6	3797310	713137
15-O-4	3816034	730835
15-O-9	3807554	730515
16-L-1	3772010	663590
16-L-3	3790590	671700
16-N-12	3784698	711758
16-N-18	3785226	723400
16-N-23	3784015	724179
16-N-6	3770950	721200
Holden_Lake	3902950	734391
