Assemblage_Name	Type_1	Type_2	Type_3	Type_4	Type_5	Type_6	Type_7	Type_8	Type_9	Type_10	Type_11	Type_12	Type_13	Type_14	Type_15	Type_16	Type_17	Type_18
8FR4-10-1	0	1	2	0	0	0	0	0	0	0	0	3	9	2	1	0	0	97
8GD13-Above-Shell	7	0	6	0	0	4	0	0	0	0	0	0	10	6	0	0	3	602
8FR4-10-3	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	98
8GD13-Shell	7	0	1	5	0	10	0	0	0	0	0	0	13	4	0	0	4	750
8GD13-Shell-Contemp	5	0	4	0	0	14	1	0	0	0	0	0	6	2	0	0	10	479
8FR4-10-4	0	1	2	6	0	0	0	0	0	0	0	0	6	0	0	0	0	200
8FR4-10-5	0	0	1	0	0	1	0	0	0	0	0	2	5	0	0	0	0	110
9SE102	0	0	0	0	0	11	0	0	0	0	0	0	1	1	0	0	0	135
8WA13	0	0	0	0	0	1	0	0	0	0	0	1	10	1	0	0	0	80
8FR4-9-1	10	0	3	0	0	2	0	0	0	1	0	0	3	1	0	0	0	151
8BY24	0	0	0	0	0	7	0	0	0	0	0	2	30	20	7	0	0	275
8GD13-Below-Shell	10	0	9	2	0	7	0	0	0	0	0	0	2	5	1	0	4	195
8FR4-9-2	0	1	3	2	0	2	3	0	0	0	0	0	6	3	0	0	0	77
1CC53	0	0	0	13	0	43	0	0	0	0	0	0	56	66	8	11	0	647
8FR4-10-6	1	0	2	0	0	7	0	0	0	0	0	2	21	6	0	0	0	50
8JA19	0	0	0	1	0	24	0	0	0	0	0	5	24	22	0	0	0	92
8JA5	0	0	1	0	0	26	0	0	0	1	0	0	21	22	0	1	0	48
8BY9	0	0	0	0	0	27	0	0	0	0	0	9	16	37	19	1	0	27
9SE33-Mid-E	0	0	0	0	0	17	0	0	0	0	0	11	30	73	3	1	0	1
8WA8-PI-2	2	0	0	0	0	35	0	0	0	0	0	1	59	23	0	0	0	0
8FR2-PIII-2	1	0	0	6	0	39	0	0	0	0	0	1	38	11	0	2	0	0
8FR2-PIII-3	2	0	0	0	0	60	2	0	0	0	0	1	33	25	1	0	0	0
8BY73-0-20-cm	0	0	0	2	0	76	1	0	0	0	1	89	12	20	12	3	0	0
9ER1-TU9	0	0	0	0	0	87	0	0	0	0	0	48	3	3	0	0	0	0
9ER1-TU18	0	0	0	0	0	160	0	0	0	0	0	23	16	23	1	3	0	0
9SE33-Mid-J	0	0	0	0	0	65	0	0	0	0	0	6	3	5	2	1	0	0
8BY73-20-40-cm	0	0	1	1	0	184	2	0	0	0	0	28	12	13	1	9	0	0
9ER1-TU7	0	0	0	2	0	83	0	0	0	0	1	6	10	4	1	0	0	1
9ER1-Md-A	0	0	0	0	0	97	0	0	0	0	0	21	2	1	0	0	0	0
9ER1-TU14	0	0	0	0	0	139	0	0	0	0	1	15	3	4	0	0	0	0
9ER1-U2-SSB	0	0	0	0	0	455	0	0	0	0	0	30	26	18	0	1	0	1
9ER1-Md-H	0	0	0	2	0	371	0	1	0	0	2	32	15	1	1	0	0	0
9ER1-U4-7-12	0	0	0	7	0	1810	0	0	0	0	0	68	23	27	3	3	0	5
9ER1-Md-C	0	0	0	0	0	755	0	0	0	0	0	36	4	2	0	0	0	0
9ER1-U4-4-6	0	0	0	4	0	522	0	0	0	0	0	21	3	4	0	0	0	0
9SE33-Mid-G	0	0	2	2	0	397	0	0	0	0	0	10	4	3	0	1	0	0
8WA8-PI-6	0	0	0	0	0	131	2	0	0	0	0	0	2	3	0	0	0	0
9CE42	0	0	0	0	0	225	4	0	0	0	0	3	1	4	0	0	0	0
8BY73-40-80-cm	0	0	0	0	0	160	0	0	0	0	0	4	1	0	0	0	0	0
9ER1-TU17	0	0	0	0	0	214	0	0	0	0	4	3	1	0	0	0	0	1
9ER1-TU15	0	0	0	0	0	143	0	0	0	1	0	2	2	0	0	0	0	0
9SE14-C	0	0	0	5	0	655	0	0	0	0	0	5	6	2	0	1	2	6
9ER1-U4-2-3	0	0	0	1	0	774	0	0	0	0	0	6	2	1	0	0	0	0
8JA63-6-12	0	0	0	1	0	313	0	0	0	0	0	1	2	0	0	0	0	0
