Assemblage_Name	Type_1	Type_2	Type_3	Type_4	Type_5	Type_6	Type_7	Type_8	Type_9	Type_10	Type_11	Type_12	Type_13	Type_14	Type_15	Type_16	Type_17	Type_18
8FR2-PIII-5	3	0	0	0	0	158	3	0	0	0	0	0	4	1	0	0	0	0
8BY74	0	0	0	0	0	101	3	2	0	1	0	1	0	0	0	0	0	0
8FR2-PIII-6	3	0	0	0	0	94	2	0	0	0	0	1	0	0	0	0	0	0
9BI3-4	3	1	5	1	0	165	7	0	0	0	0	0	0	0	0	0	0	0
8FR2-II-1	12	0	0	1	0	208	12	0	0	2	0	0	1	2	0	0	0	0
8FR2-I-1	4	0	1	2	0	116	7	0	0	0	0	0	0	0	0	0	0	0
8FR2-II-2	9	0	0	0	0	118	9	0	0	0	0	0	1	0	0	0	0	0
9BI3-3	10	0	7	0	0	215	21	0	0	0	0	0	0	0	0	0	0	0
9CE16	7	0	3	6	0	74	3	0	0	0	0	0	3	0	0	0	0	0
9BI3-2	16	0	3	2	0	135	16	0	0	0	0	0	0	0	0	0	0	0
9BI3-1	11	1	4	1	0	210	55	0	0	0	0	0	0	0	0	0	0	0
9BI3-Pre-Md	20	0	1	0	0	188	40	0	0	0	0	0	0	0	0	0	0	0
8LE148-WB-Str-2-Pits	5	0	19	1	0	175	6	0	19	0	0	7	2	0	0	0	0	1
9CY1-IV-0-6	53	0	49	18	0	383	100	5	3	0	0	3	0	0	0	0	0	0
9CY1-IV-6-24	43	0	55	18	1	437	116	1	2	0	0	2	0	0	0	0	0	0
9CY1-III-0-12	33	0	21	10	0	138	47	1	0	0	0	0	0	0	0	0	0	0
9SW71	51	2	50	0	2	148	17	0	0	0	0	4	3	0	0	1	0	0
9CY1-III-12-27	28	0	16	7	0	52	15	0	0	0	0	0	0	0	0	0	0	0
9CE4-0-6	13	1	80	18	0	100	2	0	0	0	0	0	0	0	0	0	0	0
9CE4-6-12	31	8	119	15	0	122	6	0	0	0	0	0	0	0	0	0	0	0
9CY1-II	29	0	41	11	3	46	0	0	0	0	0	1	1	0	0	0	0	0
9CE4-12-18	20	3	53	7	0	30	2	0	0	0	0	0	0	0	0	0	0	0
9QU58	72	0	112	11	6	67	4	0	0	0	0	0	0	0	0	0	0	0
9CY1-I-0-6	54	0	39	22	2	28	1	0	0	0	0	0	0	0	0	0	0	0
9CY1-I-6-12	36	0	34	4	0	19	3	0	0	0	0	0	0	0	0	0	0	0
9CY1-I-12-	68	0	20	8	2	15	2	0	0	0	0	0	0	0	0	0	0	0
8FR4-9-3	67	0	7	12	0	6	1	0	0	0	0	1	0	4	0	0	0	0
8GU56-TUA/B	272	0	58	5	0	16	0	0	0	0	0	0	0	0	0	0	0	0
8GU56-TUC/D	56	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1BR15-X1-Tertiary	373	8	46	5	0	33	1	0	0	0	0	0	0	0	0	0	0	0
8GU60-TUBL1-3	394	0	0	0	2	9	0	2	0	0	0	0	1	0	0	0	0	0
8GU60-TUBL4-8	235	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
