AK	-152.24098	64.24019
AL	-86.82676	32.79354
AR	-92.4392	34.89977
AZ	-111.66457	34.29323
CA	-119.60818	37.24537
CO	-105.54783	38.99855
CT	-72.72623	41.62196
DC	-77.01464	38.90932
DE	-75.50592	38.99559
FL	-82.50934	28.67402
GA	-83.44848	32.65155
HI	-156.34743	20.24923
IA	-93.50003	42.07463
ID	-114.65933	44.38907
IL	-89.19838	40.06501
IN	-86.27548	39.90801
KS	-98.38019	38.48471
KY	-85.29046	37.52668
LA	-92.02905	31.0891
MA	-71.81423	42.25788
MD	-76.78588	39.04533
ME	-69.22999	45.38046
MI	-85.43675	44.34717
MN	-94.31357	46.31189
MO	-92.38554	38.3208
MS	-89.66553	32.75201
MT	-109.64507	47.0335
NC	-79.37865	35.54369
ND	-100.46935	47.44626
NE	-99.81058	41.52709
NH	-71.57754	43.68556
NJ	-74.66876	40.20049
NM	-106.10837	34.42137
NV	-116.65539	39.35648
NY	-75.51491	42.94796
OH	-82.79002	40.2912
OK	-97.50819	35.58345
OR	-120.55232	43.93589
PA	-77.7993	40.87368
PR	-66.46912	18.2224
RI	-71.55579	41.67544
SC	-80.89899	33.93574
SD	-100.23048	44.43614
TN	-86.34332	35.84299
TX	-99.35939	31.49422
UT	-111.67822	39.32379
VA	-78.82957	37.51637
VT	-72.66273	44.07511
WA	-120.43997	47.38076
WI	-90.01144	44.63725
WV	-80.61372	38.64259
WY	-107.55144	42.99963
